title,location,company,salary,experience(in yrs),description,keywords,trending,sponsored
Hiring For Chief Analytics Officer (data Analyst/data Scientist),Noida,ADINIO SERVICES PRIVATE LIMITED,Not disclosed,8,"Preferably, worked with customer analytics and having experience of app-based ecosystem...",pythondata analysisdata analyticsdata managementdata miningmachine learningbusiness intelligenceStatistics,1,0
Data Analyst / Data Scientist,Vapi,Express Roadways Private Limited,"2,50,000 - 4,50,000 PA.",1,Prior experience and expertise in big data analysis,Data ScienceOperations ResearchData AnalysisBig Data,1,0
Data Analyst / Data Scientist,Mumbai,Express Roadways Private Limited,"2,50,000 - 4,50,000 PA.",1,Prior experience and expertise in big data analysis,Data ScienceOperations ResearchData AnalysisBig Data,1,0
Data Analyst / Data Scientist,Hyderabad,Express Roadways Private Limited,"2,50,000 - 4,50,000 PA.",1,Prior experience and expertise in big data analysis,Data ScienceOperations ResearchData AnalysisBig Data,1,0
Data Scientist,Bengaluru,Kennametal India,Not disclosed,3,Responsibilities Identify high ROI use cases for Data Analytics and Machine Learning th...,Computer sciencePlant managementAerospaceNeural networksSocial mediaMachine learningData collectionData analytics,0,0
Data Scientist,Pune,Rolls Royce India Private Ltd.,Not disclosed,1,"10+ years of practical (industrial) experience in data science, analytics, generic algo...",Data ScienceAlgorithm DevelopmentBig Data AnalyticsDockerHadoopSCALASparkMachine Learning,0,0
Junior Data Scientist,Bengaluru,Snaphunt,Not disclosed,1,"You possess a Degree / Masters from a top-tier institute, ideally in Computer Science, ...",Data SciencePredictive ModelingRAlgorithmsNeural NetworksTime SeriesMachine LearningStatistics,0,1
Data Scientist - Machine & Deep Learning,Bengaluru,Connexions,Not disclosed,2,"Job Description : - We have millions of active monthly visitors, we have access to a hu...",Data ScienceNLPData ScientistBig DataData MiningData ModelingMachine LearningDeep Learning,0,1
Data Scientist - Machine & Deep Learning,Bengaluru,Connexions,Not disclosed,2,Experience of building / deploying models and maintaining them in production Bachelor o...,Data ScienceTensorflowNLPData ScientistData MiningData AnalyticsMachine LearningDeep Learning,0,1
Principal Data Scientist,Bengaluru,GO-JEK,Not disclosed,8,Principal Data Scientist will architect and drive technical excellence in GoFood Search...,Design engineeringdata scienceDiversity and InclusionMachine learningManager TechnologyInfrastructureMentorProduct design,0,0
Data Scientist - Manufacturer of High Quality Storage Products,Mumbai,NewAge Products Inc,Not disclosed,5,Work closely with sales operations and digital implementation teams to identify opportu...,pythonpredictive modelingneural networksbusiness solutionsproduct data managementclusteringmachine learninginventory management,0,1
Professional - Data Scientist,Hyderabad,Sutherland Global Services Inc,Not disclosed,2,"Strong understanding of techniques: Such as Continuous Integration, Continuous Delivery...",BPOBusiness processAutomationHealthcareStored proceduresOracleMS OfficeData mining,0,0
Data Scientist,Hyderabad,Fractal Enterprises LLP,Not disclosed,5,"Hands on Experience with databases (Oracle, HANA, SQL Server, Teradata, RedShift, Netez...",time series analysispythonpandalinguisticsmachine learningmultivariate analysisartificial intelligencereinforcement learning,1,0
Looking For Data Scientist (nlp) For Noida SEZ,Noida,EXL Services.com ( I ) Pvt. Ltd.,Not disclosed,4,Production level coding experience in Python / Java is requiredExperience with Natural ...,JavaNLPAlgorithmsText AnalyticsNatural Language ProcessingInformation RetrievalText MiningMachine Learning,1,0
Engineer - Data Scientist/ Machine Learning - Fintech,Bengaluru,Connexions,Not disclosed,2,"Bachelors or Masters degree in Computer Science, Statistics, Operational Research, Math...",Data ScienceCredit UnderwritingFinanceBankingCredit RiskData MiningCredit AssessmentMachine Learning,1,1
Statistical Modeler - Data Scientist,Delhi,Citius IT Solutions Pvt Ltd,Not disclosed,4,Strong experience in leading teams for Data Analytics and Statistical modeling Strong e...,Logistic regressionData analysisTeam managementProject managementAnalyticalConsultingSPSSRegression analysis,0,0
Junior Data Scientist,Chennai,eHelium Advisory Services Pvt Ltd,Not disclosed,2,Job code : EH_00121 | Chennai Job Description: Junior Data Scientist(Junior-2 to 3 Year...,Computer sciencedeep learningC++Operations researchMachine learningNatural language processingEconometricsForecasting,0,0
Data Scientist,Mumbai,Saba Software India Pvt. Ltd.,Not disclosed,7,We are looking for a Data Scientist is adept at using large data sets to find opportuni...,Computer scienceC++Data analysisSimulationCodingMySQLJavascriptBusiness intelligence,0,0
Lead Data Scientist,Gurgaon,Optum Global Solutions (India) Private Limited,Not disclosed,8,Experience in creating and using advanced machine learning algorithms and statistics su...,JavaCAlgorithmsArtificial Neural NetworksMySQLText MiningDecision TreesMachine Learning,0,0
Sr . Data Scientist,Pune,Slack,Not disclosed,6,Slack is looking for experienced data scientists to join our Product Analytics team and...,SANAcademic ResearchConsultingBusiness intelligenceOperationsAnalyticsQuantitative analysisSQL,0,0
Data Scientist /analytics Engineer - Machine Learning,Delhi,Blackcoffer,Not disclosed,1,"Experience working in predictive models, data models, financial models, and machine lea...",Data SciencePredictive ModelingRegression AlgorithmsRCloud ServicesData ScientistData AnalyticsMachine Learning,1,0
Data Scientist,Bengaluru,Snaphunt,Not disclosed,3,"You have at least 3 years experience, ideally within a Data Scientist role",C++CTableauData AnalyticsMachine LearningStatistical AnalysisStatisticsDeep Learning,1,1
Lead Data Scientist - Python/ R/ SQL,Bengaluru,e-Hireo Global Pvt Ltd,Not disclosed,3,Good visualization abilities and persuasive capabilities 3+ years of relevant experienc...,Data ScienceReCommerceData ScientistData VisualizationData AnalyticsPythonSQL,1,0
Head - Data Scientist - Machine Learning,Bengaluru,e-Hireo Global Pvt Ltd,Not disclosed,8,About Role : We have a spectrum of users who may range from an average credit seeker to...,Data ScienceRData ScientistData ManagementMachine LearningAlgorithmAnalyticsPython,1,1
Data Scientist - Python/r,Bengaluru,Catalyst,Not disclosed,2,Proficient in writing and understanding complex SQLRequired Candidate profileWhat Youll...,Data ScienceRData ScientistData Managementproduct developmentPythonSQL,1,1
Stay @ Home & Apply: Chennai - Bangalore Calls Data Scientists,Chennai,2Coms Consulting Pvt Ltd.,"18,00,000 - 27,50,000 PA.",8,"Qua : Graduate / Post GraduateBTech from Tier-1 college (IITs, NITs, IIITs etc.)Minimum...",codingpythonrdata sciencedata scientiststatistical modelingmodel buildingMachine Learning,1,0
Stay @ Home & Apply: Chennai - Bangalore Calls Data Scientists,Bengaluru,2Coms Consulting Pvt Ltd.,"18,00,000 - 27,50,000 PA.",8,"Qua : Graduate / Post GraduateBTech from Tier-1 college (IITs, NITs, IIITs etc.)Minimum...",codingpythonrdata sciencedata scientiststatistical modelingmodel buildingMachine Learning,1,0
AI Data Scientist - R/python/unica,Bengaluru,Premium,Not disclosed,5,Experience Required : - 3-4 years of experience and in-depth understanding of statistic...,RE- minerSASSAS eMinerArtificial IntelligenceData ScientistData ManagementStatistical Analyst,1,1
Data Scientist - Insurance,Bengaluru,Recrutist.com,Not disclosed,2,Our client is an insurance technology company founded by industry veterans as an endeav...,Data ScienceNLPData ScientistData ManagementData MiningData ModelingData AnalyticsStatistics,1,0
Job Opening For DATA Scientist in one of BIG 4 Company at Bellandur,Bengaluru,Convate Consultancy Services Pvt Ltd,Not disclosed,2,"Should have working experience in STATS MODELLING, Financial modellingShould be experie...",NLPLinear RegressionFinancePythonFinancial Modelling,1,0
Data Scientist,Malaysia,Cucumber Consultants,"14,00,000 - 17,00,000 PA.",5,Educational qualifications: Graduate in Engineering / Statistics / Economics / Maths / ...,Team ManagementLeadershipSalesAdvanced AnalyticsData ReportingMarketing,1,1
Sr. Data Scientist - Bangalore location,Bengaluru,Populux HR,Not disclosed,4,Possess exceptional coding skills in Python and RExposure to one BI Visualization tool ...,Predictive ModelingpythonRData ScientistSr.Data ScientistSenior Data ScientistData MiningLead Data Scientist,0,0
Data Scientist - Fintech,Delhi,Connexions,Not disclosed,1,"Preferred experience in banking, payments, B2B Lending space Experience with building i...",Data ScienceData ScientistData ManagementData AnalyticsStatisticsAnalyticsSQLPython,0,1
Data Scientist - Fintech,Gurgaon,Connexions,Not disclosed,1,"Preferred experience in banking, payments, B2B Lending space Experience with building i...",Data ScienceData ScientistData ManagementData AnalyticsStatisticsAnalyticsSQLPython,0,1
Data Scientist - Telecom - Iim/iit/bits/ Nit/fms/mdi,Bengaluru,Change Leaders,Not disclosed,4,The person who will justify this role should be able to ramp-up fast on business and te...,Data ScienceBusiness IntelligenceSASData ScientistData ManagementTableauData AnalyticsStatistics,0,1
Senior Data Scientist,Gurgaon,Cynosure Corporate Solutions,Not disclosed,5,"Five years minimum related experience with machine learning, computer science, and / or...",AlgorithmsComputer ScienceNeural NetworksProduct EngineeringMachine LearningStatisticsDeep LearningLinear Algebra,0,0
Senior Data Scientist,Chennai,ManpowerGroup Services India Private Limited,"25,00,000 - 40,00,000 PA.",9,Proficiency in a structured programming language is a must - knowledge of one of Experi...,pythonrDecision TreeSASpredictive modelingHadoopStatistical ModelingRegression,0,1
Data Scientist,Bengaluru,Multi Recruit,"25,00,000 - 30,00,000 PA.",3,Should be comfortable in going through open source code and reading research papersShou...,TensorflowData ScienceAlgorithmsNLPOpen SourceData StructuresData ScientistKeras,0,1
Senior Data Scientist,Gurgaon,Cynosure Corporate Solutions,Not disclosed,5,"Five years minimum related experience with machine learning, computer science, and / or...",AlgorithmsComputer ScienceNeural NetworksProduct EngineeringMachine LearningStatisticsDeep LearningLinear Algebra,0,1
Data Scientist - Fintech,Delhi,BuzzHire,Not disclosed,2,Looking for Datascientist in fintech company based in Mumbai / Gurgaon. This is an oppo...,Data ScienceData ScientistData ManagementData AnalyticsMachine LearningAnalyticsPythonSQL,0,1
Data Scientist - Fintech,Mumbai,BuzzHire,Not disclosed,2,Looking for Datascientist in fintech company based in Mumbai / Gurgaon. This is an oppo...,Data ScienceData ScientistData ManagementData AnalyticsMachine LearningAnalyticsPythonSQL,0,1
Data Scientist - Healthcare MNC - Noida,Noida,PEOPLE STAFFING SOLUTIONS,"6,00,000 - 15,00,000 PA.",5,"Working experience of statistical techniques (like linear regression, logistic regressi...",hivePredictive ModelingNatural Language ProcessingModel ValidationpysparkMachine LearningDeep Learningsql,1,0
Senior Data Scientist /data Scientist - KPO,AnywhereinIndia,NovoTree Minds Consulting Pvt. Ltd.,Not disclosed,5,Good understanding of mathematical foundations behind Machine Learning algorithms Exper...,Data ScienceNLPData ScientistData ManagementBig DataStatistical ModelingData AnalyticsMachine Learning,1,1
Senior Data Scientist /data Scientist - KPO,MultipleLocations,NovoTree Minds Consulting Pvt. Ltd.,Not disclosed,5,Good understanding of mathematical foundations behind Machine Learning algorithms Exper...,Data ScienceNLPData ScientistData ManagementBig DataStatistical ModelingData AnalyticsMachine Learning,1,1
Senior Data Scientist - Python/r/sas,Mumbai,Mindgensolutions,Not disclosed,1,We have a leadership opportunity for Senior Datascientist with one of our client for Ba...,Data ScienceROpen SourceSASData ScientistPySparkData ManagementAWS,1,1
Senior Data Scientist - Python/r/sas,Bengaluru,Mindgensolutions,Not disclosed,1,We have a leadership opportunity for Senior Datascientist with one of our client for Ba...,Data ScienceROpen SourceSASData ScientistPySparkData ManagementAWS,1,1
Senior Data Scientist - Python/r/sas,Noida,Mindgensolutions,Not disclosed,1,We have a leadership opportunity for Senior Datascientist with one of our client for Ba...,Data ScienceROpen SourceSASData ScientistPySparkData ManagementAWS,1,1
Senior Data Scientist - Python/r/sas,Kolkata,Mindgensolutions,Not disclosed,1,We have a leadership opportunity for Senior Datascientist with one of our client for Ba...,Data ScienceROpen SourceSASData ScientistPySparkData ManagementAWS,1,1
Data Scientist,Pune,Credence Resource Management Pvt Ltd,"13,00,000 - 23,00,000 PA.",1,Should be strong in Statistical tools & Maths AlgorithmsRequired Candidate profileProfi...,algorithmsc++pythoncneural networksHadoopdata architecturemachine learning,1,0
Data Scientist,Gurgaon,Capgemini Technology Services India Limited,Not disclosed,4,Short Description Data Scientist - 4 to 6 Years - Gurgaon Qualifications Bachelors in E...,Data ScienceRNLPData ScientistNeural NetworksBig DataData MiningSpark,0,1
Data Scientist,Gurgaon,Capgemini Technology Services India Limited,Not disclosed,4,Short Description Data Scientist - 4 to 6 Years - Gurgaon Qualifications Bachelors in E...,Data ScienceRNLPNeural NetworksBig DataData MiningSparkMachine Learning,0,1
Senior Data Scientist,Hyderabad,Bidgely Technologies Private Limited,Not disclosed,3,"Careers Jobs at Bidgely! SeniorData Scientist At Bidgely, the data science team uses ma...",Computer scienceData analysisAnalyticalMachine learningToolsData miningMATLABMonitoring,0,1
Data Scientist,Bengaluru,Zyoin Web Pvt.Ltd,Not disclosed,2,"We are looking for a Data Scientist for one of our esteemed Clients for Bangalore , Ind...",Cluster analysisDemand forecastingMachine learningbig dataStatisticsPython,0,0
Data Scientist-Analytics & Insights,Noida,Hiring Joint,Not disclosed,3,"Job Purpose : As a leader and innovator in the food services and food-tech space, Jubil...",Supply chainData analysisAnalyticalMachine learningData processingData structuresData miningOperations,0,0
Senior Data Scientist,Kolkata,Cognome India Pvt. Ltd.,"15,00,000 - 25,00,000 PA.",3,"Job Profile: Senior Data Scientist Cognome India Pvt. Ltd. Job Location: Kolkata, WB. D...",springdeep learningpythonnlpnatural language processingdata scienceneural networksmachine learning,0,1
Hiring For Data Scientist with a Product Based Company@ Kochi,Kochi,Aufait Technologies Pvt. Ltd,Not disclosed,5,Experience in big data (eg: Spark) also preferredKnowledge of R and Tableau also prefer...,clusterpythonSenior Data ScientistRegressiontime seriesclusturinganalyticsr,0,1
"Machine Learning , Data Scientist",Mumbai,Maestro Placement Consultancy Services,Not disclosed,1,Job Description Job Purpose : Provides deep technical Big Data and Machine Learning exp...,GISdeep learningData modelingAnalyticalMachine learningFMCGmicrosoftbig data,0,0
Data Scientist,Bengaluru,Mindtree Limited,Not disclosed,7,Data Scientist / Data Analytics : Manager Description : 7 - 12 years overall experience...,Data analysisAnalyticalMachine learningSPSSBusiness intelligenceData miningMATLABForecasting,0,0
Senior Data Scientist,Bengaluru,MMS Holdings Inc.,Not disclosed,1,Proficiency in data science delivery methodologies Responsible for key activities and d...,Computer scienceCROSimulationCodingProject managementPharmaMachine learningLife sciences,0,0
Data Scientist,Mumbai,ALLERIN TECHNOLOGIES Pvt Ltd.,Not disclosed,2,"Processing , cleansing , and verifying the integrity of data used for analysis Doing ad...",Computer scienceData analysisMachine learningData collectionPredictive modelingData miningbig dataMATLAB,0,0
Senior Data Scientist,Bengaluru,Fractal Analytics Ltd,Not disclosed,5,Position Description: Fractal Analytics is actively involved in helping Fortune 500 com...,LinuxRFRDBMSBfsiConsultingData structuresHealthcareSEM,0,0
Lead Data Scientist,Bengaluru,Crediwatch,Not disclosed,7,Crediwatch is an insights- as- a- service platform that deploys scalable deep learning ...,Data analysisSASData modelingPerlMATLABAnalyticsMonitoringPython,0,0
Data Scientist - Quality Compliance,Hyderabad,Novartis Healthcare Pvt. Ltd.,Not disclosed,1,Position Purpose: Provides governance and compliance oversight of Novartis across busin...,Supply chainComputer scienceProduct qualityData analysisAnalyticalMachine learningJavascriptMS Office,0,0
Sr Data Scientist - DNA,Bengaluru,Neustar MarketShare,Not disclosed,2,"Neustar, Inc. is a leading global information services provider driving the connected w...",Product engineeringAnalyticalMachine learningAlgorithm developmentdata visualizationData miningBusiness solutionsOpen source,0,0
Co-founder/ Chief Data Scientist/ Senior Data Scientist,Gurgaon,Benovymed Healthcare,Not disclosed,5,Important Note : Consultant / Part time / Remote job seeker dont applyData scientists s...,Data SciencePredictive ModelingChief Product OfficerData ScientistArtificial IntelligenceChatbotData AnalyticsMachine Learning,0,1
Lead Data Scientist,Kolkata,VMware India,Not disclosed,8,Description Lead Data Scientist - Advanced Analytics and Data Sciences Technical Skills...,VMwareAutomationTeam managementProject managementAgileHTTPJIRAVirtualization,0,0
