index,title,location,company,salary,experience(in yrs),description,keywords,trending,sponsored
0,Hiring For Chief Analytics Officer (data Analyst/data Scientist),Noida,ADINIO SERVICES PRIVATE LIMITED,Not disclosed,8,"Preferably, worked with customer analytics and having experience of app-based ecosystem...",pythondata analysisdata analyticsdata managementdata miningmachine learningbusiness intelligenceStatistics,1,0
1,Data Analyst / Data Scientist,Vapi,Express Roadways Private Limited,"2,50,000 - 4,50,000 PA.",1,Prior experience and expertise in big data analysis,Data ScienceOperations ResearchData AnalysisBig Data,1,0
2,Data Analyst / Data Scientist,Mumbai,Express Roadways Private Limited,"2,50,000 - 4,50,000 PA.",1,Prior experience and expertise in big data analysis,Data ScienceOperations ResearchData AnalysisBig Data,1,0
3,Data Analyst / Data Scientist,Hyderabad,Express Roadways Private Limited,"2,50,000 - 4,50,000 PA.",1,Prior experience and expertise in big data analysis,Data ScienceOperations ResearchData AnalysisBig Data,1,0
4,Data Scientist,Bengaluru,Kennametal India,Not disclosed,3,Responsibilities Identify high ROI use cases for Data Analytics and Machine Learning th...,Computer sciencePlant managementAerospaceNeural networksSocial mediaMachine learningData collectionData analytics,0,0
5,Data Scientist,Pune,Rolls Royce India Private Ltd.,Not disclosed,1,"10+ years of practical (industrial) experience in data science, analytics, generic algo...",Data ScienceAlgorithm DevelopmentBig Data AnalyticsDockerHadoopSCALASparkMachine Learning,0,0
6,Principal Data Scientist,Bengaluru,GO-JEK,Not disclosed,8,Principal Data Scientist will architect and drive technical excellence in GoFood Search...,Design engineeringdata scienceDiversity and InclusionMachine learningManager TechnologyInfrastructureMentorProduct design,0,0
7,Professional - Data Scientist,Hyderabad,Sutherland Global Services Inc,Not disclosed,2,"Strong understanding of techniques: Such as Continuous Integration, Continuous Delivery...",BPOBusiness processAutomationHealthcareStored proceduresOracleMS OfficeData mining,0,0
8,Data Scientist,Hyderabad,Fractal Enterprises LLP,Not disclosed,5,"Hands on Experience with databases (Oracle, HANA, SQL Server, Teradata, RedShift, Netez...",time series analysispythonpandalinguisticsmachine learningmultivariate analysisartificial intelligencereinforcement learning,1,0
9,Looking For Data Scientist (nlp) For Noida SEZ,Noida,EXL Services.com ( I ) Pvt. Ltd.,Not disclosed,4,Production level coding experience in Python / Java is requiredExperience with Natural ...,JavaNLPAlgorithmsText AnalyticsNatural Language ProcessingInformation RetrievalText MiningMachine Learning,1,0
10,Engineer - Data Scientist/ Machine Learning - Fintech,Bengaluru,Connexions,Not disclosed,2,"Bachelors or Masters degree in Computer Science, Statistics, Operational Research, Math...",Data ScienceCredit UnderwritingFinanceBankingCredit RiskData MiningCredit AssessmentMachine Learning,1,1
11,Statistical Modeler - Data Scientist,Delhi,Citius IT Solutions Pvt Ltd,Not disclosed,4,Strong experience in leading teams for Data Analytics and Statistical modeling Strong e...,Logistic regressionData analysisTeam managementProject managementAnalyticalConsultingSPSSRegression analysis,0,0
12,Junior Data Scientist,Chennai,eHelium Advisory Services Pvt Ltd,Not disclosed,2,Job code : EH_00121 | Chennai Job Description: Junior Data Scientist(Junior-2 to 3 Year...,Computer sciencedeep learningC++Operations researchMachine learningNatural language processingEconometricsForecasting,0,0
13,Data Scientist,Mumbai,Saba Software India Pvt. Ltd.,Not disclosed,7,We are looking for a Data Scientist is adept at using large data sets to find opportuni...,Computer scienceC++Data analysisSimulationCodingMySQLJavascriptBusiness intelligence,0,0
14,Lead Data Scientist,Gurgaon,Optum Global Solutions (India) Private Limited,Not disclosed,8,Experience in creating and using advanced machine learning algorithms and statistics su...,JavaCAlgorithmsArtificial Neural NetworksMySQLText MiningDecision TreesMachine Learning,0,0
15,Sr . Data Scientist,Pune,Slack,Not disclosed,6,Slack is looking for experienced data scientists to join our Product Analytics team and...,SANAcademic ResearchConsultingBusiness intelligenceOperationsAnalyticsQuantitative analysisSQL,0,0
16,Data Scientist /analytics Engineer - Machine Learning,Delhi,Blackcoffer,Not disclosed,1,"Experience working in predictive models, data models, financial models, and machine lea...",Data SciencePredictive ModelingRegression AlgorithmsRCloud ServicesData ScientistData AnalyticsMachine Learning,1,0
17,Data Scientist,Bengaluru,Snaphunt,Not disclosed,3,"You have at least 3 years experience, ideally within a Data Scientist role",C++CTableauData AnalyticsMachine LearningStatistical AnalysisStatisticsDeep Learning,1,1
18,Lead Data Scientist - Python/ R/ SQL,Bengaluru,e-Hireo Global Pvt Ltd,Not disclosed,3,Good visualization abilities and persuasive capabilities 3+ years of relevant experienc...,Data ScienceReCommerceData ScientistData VisualizationData AnalyticsPythonSQL,1,0
19,Head - Data Scientist - Machine Learning,Bengaluru,e-Hireo Global Pvt Ltd,Not disclosed,8,About Role : We have a spectrum of users who may range from an average credit seeker to...,Data ScienceRData ScientistData ManagementMachine LearningAlgorithmAnalyticsPython,1,1
20,Data Scientist - Python/r,Bengaluru,Catalyst,Not disclosed,2,Proficient in writing and understanding complex SQLRequired Candidate profileWhat Youll...,Data ScienceRData ScientistData Managementproduct developmentPythonSQL,1,1
21,Stay @ Home & Apply: Chennai - Bangalore Calls Data Scientists,Chennai,2Coms Consulting Pvt Ltd.,"18,00,000 - 27,50,000 PA.",8,"Qua : Graduate / Post GraduateBTech from Tier-1 college (IITs, NITs, IIITs etc.)Minimum...",codingpythonrdata sciencedata scientiststatistical modelingmodel buildingMachine Learning,1,0
22,Stay @ Home & Apply: Chennai - Bangalore Calls Data Scientists,Bengaluru,2Coms Consulting Pvt Ltd.,"18,00,000 - 27,50,000 PA.",8,"Qua : Graduate / Post GraduateBTech from Tier-1 college (IITs, NITs, IIITs etc.)Minimum...",codingpythonrdata sciencedata scientiststatistical modelingmodel buildingMachine Learning,1,0
23,AI Data Scientist - R/python/unica,Bengaluru,Premium,Not disclosed,5,Experience Required : - 3-4 years of experience and in-depth understanding of statistic...,RE- minerSASSAS eMinerArtificial IntelligenceData ScientistData ManagementStatistical Analyst,1,1
24,Data Scientist - Insurance,Bengaluru,Recrutist,Not disclosed,2,Our client is an insurance technology company founded by industry veterans as an endeav...,Data ScienceNLPData ScientistData ManagementData MiningData ModelingData AnalyticsStatistics,1,0
25,Job Opening For DATA Scientist in one of BIG 4 Company at Bellandur,Bengaluru,Convate Consultancy Services Pvt Ltd,Not disclosed,2,"Should have working experience in STATS MODELLING, Financial modellingShould be experie...",NLPLinear RegressionFinancePythonFinancial Modelling,1,0
26,Sr. Data Scientist - Bangalore location,Bengaluru,Populux HR,Not disclosed,4,Possess exceptional coding skills in Python and RExposure to one BI Visualization tool ...,Predictive ModelingpythonRData ScientistSr.Data ScientistSenior Data ScientistData MiningLead Data Scientist,0,0
27,Senior Data Scientist,Gurgaon,Cynosure Corporate Solutions,Not disclosed,5,"Five years minimum related experience with machine learning, computer science, and / or...",AlgorithmsComputer ScienceNeural NetworksProduct EngineeringMachine LearningStatisticsDeep LearningLinear Algebra,0,0
28,Data Scientist - Healthcare MNC - Noida,Noida,PEOPLE STAFFING SOLUTIONS,"6,00,000 - 15,00,000 PA.",5,"Working experience of statistical techniques (like linear regression, logistic regressi...",hivePredictive ModelingNatural Language ProcessingModel ValidationpysparkMachine LearningDeep Learningsql,1,0
29,Senior Data Scientist - Python/r/sas,Mumbai,Mindgensolutions,Not disclosed,1,We have a leadership opportunity for Senior Datascientist with one of our client for Ba...,Data ScienceROpen SourceSASData ScientistPySparkData ManagementAWS,1,1
30,Senior Data Scientist - Python/r/sas,Bengaluru,Mindgensolutions,Not disclosed,1,We have a leadership opportunity for Senior Datascientist with one of our client for Ba...,Data ScienceROpen SourceSASData ScientistPySparkData ManagementAWS,1,1
31,Senior Data Scientist - Python/r/sas,Noida,Mindgensolutions,Not disclosed,1,We have a leadership opportunity for Senior Datascientist with one of our client for Ba...,Data ScienceROpen SourceSASData ScientistPySparkData ManagementAWS,1,1
32,Senior Data Scientist - Python/r/sas,Kolkata,Mindgensolutions,Not disclosed,1,We have a leadership opportunity for Senior Datascientist with one of our client for Ba...,Data ScienceROpen SourceSASData ScientistPySparkData ManagementAWS,1,1
33,Data Scientist,Pune,Credence Resource Management Pvt Ltd,"13,00,000 - 23,00,000 PA.",1,Should be strong in Statistical tools & Maths AlgorithmsRequired Candidate profileProfi...,algorithmsc++pythoncneural networksHadoopdata architecturemachine learning,1,0
34,Data Scientist,Bengaluru,Zyoin Web Pvt.Ltd,Not disclosed,2,"We are looking for a Data Scientist for one of our esteemed Clients for Bangalore , Ind...",Cluster analysisDemand forecastingMachine learningbig dataStatisticsPython,0,0
35,Data Scientist-Analytics & Insights,Noida,Hiring Joint,Not disclosed,3,"Job Purpose : As a leader and innovator in the food services and food-tech space, Jubil...",Supply chainData analysisAnalyticalMachine learningData processingData structuresData miningOperations,0,0
36,"Machine Learning , Data Scientist",Mumbai,Maestro Placement Consultancy Services,Not disclosed,1,Job Description Job Purpose : Provides deep technical Big Data and Machine Learning exp...,GISdeep learningData modelingAnalyticalMachine learningFMCGmicrosoftbig data,0,0
37,Data Scientist,Bengaluru,Mindtree Limited,Not disclosed,7,Data Scientist / Data Analytics : Manager Description : 7 - 12 years overall experience...,Data analysisAnalyticalMachine learningSPSSBusiness intelligenceData miningMATLABForecasting,0,0
38,Senior Data Scientist,Bengaluru,MMS Holdings Inc.,Not disclosed,1,Proficiency in data science delivery methodologies Responsible for key activities and d...,Computer scienceCROSimulationCodingProject managementPharmaMachine learningLife sciences,0,0
39,Data Scientist,Mumbai,ALLERIN TECHNOLOGIES Pvt Ltd.,Not disclosed,2,"Processing , cleansing , and verifying the integrity of data used for analysis Doing ad...",Computer scienceData analysisMachine learningData collectionPredictive modelingData miningbig dataMATLAB,0,0
40,Senior Data Scientist,Bengaluru,Fractal Analytics Ltd,Not disclosed,5,Position Description: Fractal Analytics is actively involved in helping Fortune 500 com...,LinuxRFRDBMSBfsiConsultingData structuresHealthcareSEM,0,0
41,Lead Data Scientist,Bengaluru,Crediwatch,Not disclosed,7,Crediwatch is an insights- as- a- service platform that deploys scalable deep learning ...,Data analysisSASData modelingPerlMATLABAnalyticsMonitoringPython,0,0
42,Data Scientist - Quality Compliance,Hyderabad,Novartis Healthcare Pvt. Ltd.,Not disclosed,1,Position Purpose: Provides governance and compliance oversight of Novartis across busin...,Supply chainComputer scienceProduct qualityData analysisAnalyticalMachine learningJavascriptMS Office,0,0
43,Sr Data Scientist - DNA,Bengaluru,Neustar MarketShare,Not disclosed,2,"Neustar, Inc. is a leading global information services provider driving the connected w...",Product engineeringAnalyticalMachine learningAlgorithm developmentdata visualizationData miningBusiness solutionsOpen source,0,0
44,Lead Data Scientist,Kolkata,VMware India,Not disclosed,8,Description Lead Data Scientist - Advanced Analytics and Data Sciences Technical Skills...,VMwareAutomationTeam managementProject managementAgileHTTPJIRAVirtualization,0,0
45,Hybrid Mobile App Developer,Chennai,IDP Education India Services LLP,Not disclosed,3,Proficient with cross-browser and cross-device developmentMinimum 4+ years of experienc...,Application DevelopmentAngularjsCSSPhonegapJavascriptHTMLRest ApiJQuery,0,0
46,Android App Developer,Chennai,iByteCode Technologies,Not disclosed,0,Android App Developer Position Technical Requisites: Experience in Android Application ...,Android App DeveloperAndroid DeveloperAndroid,0,0
47,Android / Iphone App Developer,Jaipur,expert web technologies,Not disclosed,2,Require Android Iphone Freshers. Looking for talented Android Iphone developer Self-mot...,android application development,0,0
48,Android Mobile App developer,Bengaluru,Arminus Software Pvt. Ltd,Not disclosed,6,"JD: Android Mobile App developer: Strong knowledge of Android SDK, Java & Kotlin-2 yrs ...",Performance tuninggithubBackendMVVMUser interface designingTDDInstrumentationAndroid SDK,0,0
49,Mobile App Developer,Maharashtra,known2me,Not disclosed,2,We need mobile developers with the following criteria (one each in Android and iOS plat...,Computer scienceMobile developmentNetworkingDebuggingSQLiteJSONUnit testingIOS,0,0
50,Hybrid Mobile App Developer,Chennai,IDP Education India Services LLP,Not disclosed,3,Proficient with cross-browser and cross-device developmentMinimum 4+ years of experienc...,Application DevelopmentAngularjsCSSPhonegapJavascriptHTMLRest ApiJQuery,1,0
51,Senior Mobile App Developer - Android,Delhi,Snaphunt,Not disclosed,3,You possess at least a Master / Degree from a top-tier institute in Information Technol...,JavaC++Software DevelopmentCNdkJNIImage ProcessingAugmented Reality,1,1
52,Senior Mobile App Developer - Android,Gurgaon,Snaphunt,Not disclosed,3,You possess at least a Master / Degree from a top-tier institute in Information Technol...,JavaC++Software DevelopmentCNdkJNIImage ProcessingAugmented Reality,1,1
53,Mobile App Developer - iOS,Mumbai,Sentient Systems Private Limited,Not disclosed,1,Job location : Mumbai - Malad West - Design and build iOS mobile app - Hands on experie...,Junior Ios Developerios application developerios developerios developmentmobile application developmentmobile application developer,1,0
54,Mobile App Developer - Ionic/Rest API,Pune,TeamPlus Staffing Solution Pvt Ltd,Not disclosed,3,"Job Role Responsibilities: Required skills : Skills : Android, iOS Development, Angular...",BackendAutomation testingNoSQLAgile scrumData modelingApplication developmentJSONios development,0,0
55,Mobile App Developer - iOS,Pune,Alphalogic Techsys Limited,Not disclosed,2,Experienced Mobile Developer with experience on iOS app developmentCurrent Company: Tot...,mobile applicationsandroidjsonSwiftiPadIOS,1,0
56,Mobile App Developer - Android,Pune,Alphalogic Techsys Limited,Not disclosed,2,Experienced Mobile Developer with experience on Android app developmentCurrent Company:...,mobile applicationsandroidjson,1,0
57,Senior Mobile App Developer,Delhi,Snaphunt,Not disclosed,6,"You have at least 6 years experience, ideally within a Software Engineer roleYou have s...",Creative SolutionsJavaC++Application SecuritySoftware EngineeringImage ProcessingContinuous ImprovementComputer Science,1,1
58,Senior Mobile App Developer,Gurgaon,Snaphunt,Not disclosed,6,"You have at least 6 years experience, ideally within a Software Engineer roleYou have s...",Creative SolutionsJavaC++Application SecuritySoftware EngineeringImage ProcessingContinuous ImprovementComputer Science,1,1
59,Opening For Mobile App Developer - Shriram Group_ Chennai,Chennai,NOVAC TECHNOLOGY SOLUTIONS PRIVATE LIMITED,Not disclosed,1,Should ideally document and share any new technique implemented is a mustMust have know...,angularAndroid Application Developmentcssgitworkflowrest apihtmlSVN,0,0
60,Mobile App Developer,Pune,Growth99,Not disclosed,2,Job Description We are looking for a qualified Mobile developer to join our Engineering...,Computer scienceAnalytical skillsQuality standardsConcept designWeb developmentManager TechnologyMobile applicationsIOS,0,0
61,Mobile App Developer,Bengaluru,Growth99,Not disclosed,2,Job Description We are looking for a qualified Mobile developer to join our Engineering...,Computer scienceAnalytical skillsQuality standardsConcept designWeb developmentManager TechnologyMobile applicationsIOS,0,0
62,Mobile App Developer,Pune,Growth99,Not disclosed,2,We are looking for a qualified Mobile developer to join our Engineering team. You will ...,Computer scienceAnalytical skillsQuality standardsConcept designWeb developmentManager TechnologyMobile applicationsIOS,0,0
63,Mobile App Developer,Bengaluru,Growth99,Not disclosed,2,We are looking for a qualified Mobile developer to join our Engineering team. You will ...,Computer scienceAnalytical skillsQuality standardsConcept designWeb developmentManager TechnologyMobile applicationsIOS,0,0
64,Opening For Mobile App Developer - Shriram Group_ Chennai,Chennai,NOVAC TECHNOLOGY SOLUTIONS PRIVATE LIMITED,Not disclosed,1,Should ideally document and share any new technique implemented is a mustMust have know...,angularAndroid Application Developmentcssgitworkflowrest apihtmlSVN,1,0
65,Full Stack React Native App Developer - Android & iOS Development,Hyderabad,Sabka wellness on Private Limited,"2,00,000 - 5,00,000 PA.",3,"Wellness ON is startup, HQ in Hyderabad provides superior quality of wellness services ...",c++cssandroidmobile development developmentcore javajavascriptNodeJSMobile Application Development,1,0
66,Mobile Application Developer,Kolkata,Optimize IT Systems,Not disclosed,3,"A sound experience and background in Mobile application development. UI Design, develop...",Mobile application developmentdevelopmentandroidmobileJSONMobile applicationsxcodeiphone,0,0
67,Mobile Application Developer,Kolkata,Optimize IT Systems,Not disclosed,3,"Will be responsible for designing, coding and debugging Mobile applications and submit ...",developmentcssmobilexcodeajaxjquerycodingapplication,0,0
68,Mobile Application Developer,Kolkata,Optimize IT Systems,Not disclosed,3,"A sound experience and background in Mobile application development. UI Design, develop...",developmentuiapplicationxmlandroidMobile Application Developer (iOS/Android)mobilejson,0,0
69,Senior Application Developer,Bengaluru,"Liventus, Inc.","6,00,000 - 15,00,000 PA.",3,"Job Description: As a full time senior .Net Developer, you will be working in a small b...",C#AngularjsLINQHtml5JavascriptMS SQL ServerBootstrapEntity Framework,0,0
70,Web Application Support Developer,Mumbai,IMS Learning Resources Pvt Ltd,Not disclosed,1,3 years of experience in web application support and maintenanceRequires web applicatio...,asp.netsupportmaintenance,1,0
71,TM Mobile Application Developer,Bengaluru,JSM TECHNOLOGIES PVT. LTD,Not disclosed,1,Employees working in this position shall be having the following JR 1. Analysis 2. Desi...,developmenttechnicalDebuggingandroidmobiledevelopingHTMLJSON,0,0
72,Application Developer,Bengaluru,Western Digital,Not disclosed,3,Essential Duties and Responsibilities : Full Stack Angular Web Development for building...,SIDEWeb applicationWeb developmentProgrammingAgileManager TechnologyUATAnalyst 3,0,0
73,Experienced Windows Application Developer,Mohali,Arbor Financial Systems,Not disclosed,2,"job description Using C#, WPF and .Net you will be designing and developing detailed sy...",c#front enddevelopmentcodetechnicalmobile applicationdocumentationunit testing,0,0
74,Experienced Windows Application Developer,Chandigarh,Arbor Financial Systems,Not disclosed,2,"job description Using C#, WPF and .Net you will be designing and developing detailed sy...",c#front enddevelopmentcodetechnicalmobile applicationdocumentationunit testing,0,0
75,Application Developer - JAVA,Mumbai,Institutional Shareholder Services Inc.,Not disclosed,3,This person will be a key member of the ISS Application Development team and will be fo...,Computer scienceWeb technologiesUser interface designingSpring frameworkAnalyticalISSHTMLApplication development,0,0
76,Flutter Developer - Android/ios Apps,Mumbai,FresherMart,Not disclosed,1,Must have built at least one Android / iOS apps with Flutter or Hybrid Framework Experi...,Hybrid AppsMobile App ArchitectureFlutteriOSAndroidDart,1,0
77,React Native Application Developer - iOS & Android Platform,Chandigarh,Yo HR Consultancy,Not disclosed,1,Job Nature : Full Time Monitor the performance on both code and experience levelExperie...,REST APINative AppsAPI IntegrationXcodeRedux - SagaReact NativeMobile App DesigningiOS,1,0
78,CAD Application Developer,Vadodara,Linde Engineering India Pvt Ltd,Not disclosed,3,"CADCAE and 3D application development, maintenance, troubleshooting and support for bot...",Object oriented designC++MS SQLRDBMSAnalyticalCADEPCApplication development,0,0
79,Senior Application Developer -- Streamline,Chennai,ADP India Pvt Ltd,Not disclosed,3,Summary We re looking for self-motivated individuals who are looking for a challenging ...,CodingIntegration testingDebuggingJavascriptApplication developmentWCFMVCmicrosoft,0,0
80,Android Application Developer,Bengaluru,Next Order,Not disclosed,2,The ideal candidate will have: Experience developing Android applications that are well...,android applicationReservationArchitectureNetworkingSQLiteArchitectingRoomTeam building,0,0
81,Mobile Application Developer,Bhubaneshwar,CSM Technologies Pvt. Ltd.,Not disclosed,4,"Mobile Application Developer Bhubaneswar, India IT - Software / Software Services Job I...",IT servicesXMLAnalyticalConsultingSQLiteTest scenariosMongoDBSystem analysis,0,0
82,Windows Application Developer,Gurgaon,One.Com India Pvt. Ltd,Not disclosed,4,one.com is looking for Windows Application Developer (C#)our team in India There is no ...,C++GITTDDProject managementData structuresWeb hostingApplication developmentMFC,0,0
